text;style
"És a fonte dos jardins; poço das águas vivas; que correm do Líbano!";arcaico
"Anda com os sábios e serás sábio; mas o companheiro dos tolos será afligido.";arcaico
"Porque eu; o Senhor; não mudo; por isso; vós; ó filhos de Jacó; não sois consumidos. Não devemos roubar o Senhor; nem duvidar da sua providência e justiça";arcaico
"E; ainda que nunca viu o sol; nem o conheceu; mais descanso tem do que o tal.";arcaico
"todo o reino de Ogue; em Basã; que reinou em Astarote e em Edrei; este ficou do resto dos gigantes; que Moisés feriu e expeliu.";arcaico
"Porque; de repente; se levantará a sua perdição; e a ruína deles; quem a conhecerá?";arcaico
"E Jeú dormiu com seus pais; e o sepultaram em Samaria; e Jeoacaz; seu filho; reinou em seu lugar.";arcaico
"Bate alegre as asas o avestruz; que tem penas de cegonha;";arcaico
"Porque assim diz o Senhor: Toda esta terra será assolada; de todo; porém; a não consumirei.";arcaico
"quanto mais o sangue de Cristo; que; pelo Espírito eterno; se ofereceu a si mesmo imaculado a Deus; purificará a vossa consciência das obras mortas; para servirdes ao Deus vivo?";arcaico
"Mas foi arrancada com furor; foi abatida até à terra; e o vento oriental secou o seu fruto; quebraram-se e secaram-se as suas fortes varas; e o fogo as consumiu.";arcaico
"Diz o preguiçoso: Um leão está lá fora; serei morto no meio das ruas.";arcaico
"Porque Deus pôs nas suas mentes a intenção de executarem precisamente o seu plano; e assim concordarão todos em dar o seu poder ao monstro; até que se cumpra a palavra de Deus.";arcaico
"e aos horeus no seu monte Seir; até à campina de Parã; que está junto ao deserto.";arcaico
"E Manassés dormiu com seus pais e foi sepultado no jardim da sua casa; no jardim de Uzá; e Amom; seu filho; reinou em seu lugar. Amom é um mau rei; e os seus servos o matam";arcaico
Ainda não compreendeis que tudo o que entra pela boca desce para o ventre e é lançado fora?;arcaico
"Vieram os filhos de Jacó aos mortos e saquearam a cidade; porquanto haviam contaminado a sua irmã.";arcaico
"E; naquele mesmo ano; oprimiram e vexaram aos filhos de Israel; dezoito anos oprimiram todos os filhos de Israel que estavam dalém do Jordão; na terra dos amorreus; que está em Gileade.";arcaico
"E disse eu: Manifestá-lo-ei em teus ouvidos; dizendo: Toma-a diante dos habitantes e diante dos anciãos do meu povo; se a hás de redimir; redime-a e; se não se houver de redimir; declara-mo; para que o saiba; pois outro não há; senão tu; que a redima; e eu depois de ti. Então; disse ele: Eu a redimirei.";arcaico
"Isto aconteceu três vezes; antes que o pano e tudo o que continha fosse recolhido no céu.";arcaico
"Lembra-te; pois; da palavra que ordenaste a Moisés; teu servo; dizendo: Vós transgredireis; e eu vos espalharei entre os povos.";arcaico
"E a Abiatar; o sacerdote; disse o rei: Para Anatote vai; para os teus campos; porque és homem digno de morte; porém hoje te não matarei; porquanto levaste a arca do Senhor Jeová diante de Davi; meu pai; e porquanto foste aflito em tudo quanto meu pai foi aflito.";arcaico
"Responderam e disseram-lhe: Se este não fosse malfeitor; não to entregaríamos.";arcaico
"Paulo queria entrar também; mas os discípulos não lho permitiram.";arcaico
"E consideremo-nos uns aos outros; para nos estimularmos ao amor e às boas obras;";arcaico
"que; mediante a fé; estais guardados na virtude de Deus; para a salvação já prestes para se revelar no último tempo;";arcaico
"Chegue a minha súplica perante a tua face; livra-me segundo a tua palavra.";arcaico
"E; se sou rude na palavra; não o sou; contudo; na ciência; mas já em tudo nos temos feito conhecer totalmente entre vós.";arcaico
"O abismo diz: Não está em mim; e o mar diz: Ela não está comigo.";arcaico
"porque tinha curado a muitos; de tal maneira que todos quantos tinham algum mal se arrojavam sobre ele; para lhe tocarem.";arcaico
"A luz se escurecerá nas suas tendas; e sua lâmpada sobre ele se apagará.";arcaico
"As viúvas mais novas; porém; não deves incorporá-las em tal lista; porque os seus desejos físicos naturais ultrapassarão a sua devoção a Cristo e desejarão casar de novo.";arcaico
"Certamente ele escarnecerá dos escarnecedores; mas dará graça aos mansos.";arcaico
"O pior; como vos disse; é não acreditarem; mesmo depois de me terem visto.";arcaico
Ao mensageiro da igreja em Pérgamo escreve: Isto é o que te diz aquele que tem a espada aguda de dois fios.;arcaico
"E roubarão as tuas riquezas; e saquearão as tuas mercadorias; e derribarão os teus muros; e arrasarão as tuas casas preciosas; e as tuas pedras; e as tuas madeiras; e o teu pó lançarão no meio das águas.";arcaico
"Contudo; serão ministros do meu santuário; nos cargos das portas da casa; e servirão à casa; eles degolarão o holocausto e o sacrifício para o povo e estarão perante ele; para lhe servir.";arcaico
"E aconteceu que; aparecendo o sol; Deus mandou um vento calmoso; oriental; e o sol feriu a cabeça de Jonas e ele desmaiou; e desejou com toda a sua alma morrer; dizendo: Melhor me é morrer do que viver.";arcaico
"Sacrifício e oferta não quiseste; os meus ouvidos abriste; holocausto e expiação pelo pecado não reclamaste.";arcaico
"porque; agora; vivemos; se estais firmes no Senhor.";arcaico
E o Senhor disse-lhe: Que é isso na tua mão? E ele disse: Uma vara.;arcaico
"Respondeu e disse: Eu; porém; vejo quatro homens soltos; que andam passeando dentro do fogo; e nada há de lesão neles; e o aspecto do quarto é semelhante ao filho dos deuses.";arcaico
"E perguntou-lhe Jesus; dizendo: Qual é o teu nome? E ele disse: Legião; porque tinham entrado nele muitos demônios.";arcaico
"Deve antes ser dado à hospitalidade; zeloso por tudo o que é bom. Deve ser equilibrado e justo; sabendo dominar os seus sentidos.";arcaico
"A testemunha de Belial escarnece do juízo; e a boca dos ímpios engole a iniquidade.";arcaico
"Como fonte turva e manancial corrupto; assim é o justo que cai diante do ímpio.";arcaico
"Todavia; quanto aos que creem dos gentios; já nós havemos escrito e achado por bem que nada disto observem; mas que só se guardem do que se sacrifica aos ídolos; e do sangue; e do sufocado; e da prostituição.";arcaico
"Mas Seom; rei de Hesbom; não nos quis deixar passar por ele; porquanto o Senhor; teu Deus; endurecera o seu espírito e fizera obstinado o seu coração; para to dar na tua mão; como neste dia se vê.";arcaico
E jamais me lembrarei de seus pecados e de suas iniquidades.;arcaico
"Então; todos estes teus servos descerão a mim e se inclinarão diante de mim; dizendo: Sai tu e todo o povo que te segue as pisadas; e; depois; eu sairei. E saiu de Faraó em ardor de ira.";arcaico
"O que usa de engano não ficará dentro da minha casa; o que profere mentiras não estará firme perante os meus olhos.";arcaico
"porque as filhas de Manassés no meio de seus filhos possuíram herança; e a terra de Gileade tiveram os outros filhos de Manassés.";arcaico
"Judá é um leãozinho; da presa subiste; filho meu. Encurva-se e deita-se como um leão e como um leão velho; quem o despertará?";arcaico
"(Estava; então; o rei assentado na casa de inverno; pelo nono mês; e estava diante dele um braseiro aceso.)";arcaico
Pediram-nos com muita insistência que com esse dinheiro pudessem participar da alegria de ajudar outros crentes.;arcaico
"Tendo tido Paulo e Barnabé não pequena discussão e contenda contra eles; resolveu-se que Paulo; Barnabé e alguns dentre eles subissem a Jerusalém aos apóstolos e aos anciãos sobre aquela questão.";arcaico
"Da idade de oitenta anos sou eu hoje; poderia eu discernir entre bom e mau? Poderia o teu servo ter gosto no que comer e beber? Poderia eu mais ouvir a voz dos cantores e cantoras? E por que será o teu servo ainda pesado ao rei; meu senhor?";arcaico
"É verdade que alguns pregam a Cristo só para se porem em pé de igualdade comigo. Contudo; muitos outros fazem-no com boas intenções.";arcaico
"E enviei o irmão Timóteo; nosso cooperador na obra do evangelho; ao serviço de Deus; a fim de que vos encoraje e vos dê conselhos que fortaleçam a vossa fé;";arcaico
"E tu; Daniel; fecha estas palavras e sela este livro; até ao fim do tempo; muitos correrão de uma parte para outra; e a ciência se multiplicará.";arcaico
"Jesus expôs os seguintes ensinamentos: “Esta geração é uma má geração; pede um sinal; mas não receberá nenhum; a não ser o de Jonas!";arcaico
E outra vez disseram: Aleluia! E a fumaça dela sobe para todo o sempre.;arcaico
"Os jovens se cansarão e se fatigarão; e os jovens certamente cairão.";arcaico
E tomei os levitas em lugar de todo primogênito entre os filhos de Israel.;arcaico
“Ouçam: vamos para Jerusalém. Lá o Filho do Homem será entregue aos principais sacerdotes e especialistas na Lei que o condenarão à morte.;arcaico
"Simão; a quem pôs o nome de Pedro;";arcaico
"Ora; a mão do Senhor estivera sobre mim pela tarde; antes que viesse o que tinha escapado; abriu a minha boca; até que veio a mim pela manhã; e abriu-se a minha boca; e não fiquei mais em silêncio.";arcaico
"E serão aquelas pedras segundo os nomes dos filhos de Israel; doze; segundo os seus nomes; serão esculpidas como selos; cada uma com o seu nome; para as doze tribos.";arcaico
"Agradar-se-á o Senhor de milhares de carneiros? De dez mil ribeiros de azeite? Darei o meu primogênito pela minha transgressão? O fruto do meu ventre; pelo pecado da minha alma?";arcaico
"Para que vos lembreis de todos os meus mandamentos; e os façais; e santos sejais a vosso Deus.";arcaico
"E habitarei no meio dos filhos de Israel e lhes serei por Deus;";arcaico
"Trabalhar por ajuntar tesouro com língua falsa é uma vaidade; e aqueles que a isso são impelidos buscam a morte.";arcaico
"Pois quê? O que Israel buscava não o alcançou; mas os eleitos o alcançaram; e os outros foram endurecidos.";arcaico
"E perguntaram; por acenos; ao pai como queria que lhe chamassem.";arcaico
"Nós passaremos; armados; perante o Senhor à terra de Canaã e teremos a possessão de nossa herança daquém do Jordão.";arcaico
"Esta era a herança da tribo dos filhos de Dã; segundo as suas famílias; estas cidades e as suas aldeias.";arcaico
"E fez Baruque; filho de Nerias; conforme tudo quanto lhe havia ordenado Jeremias; o profeta; lendo naquele livro as palavras do Senhor na Casa do Senhor.";arcaico
"E ouvi uma voz que me foi dirigida de dentro do templo; e um homem se pôs junto de mim";arcaico
"ou por inimizade a ferir com a sua mão; e morrer; certamente morrerá o feridor; homicida é; o vingador do sangue; encontrando o homicida; o matará.";arcaico
"Todo o natural assim fará estas coisas; oferecendo oferta queimada em cheiro suave ao Senhor.";arcaico
"E todos pasmavam da majestade de Deus. E; maravilhando-se todos de todas as coisas que Jesus fazia; disse aos seus discípulos:";arcaico
"A ira do louco se conhece no mesmo dia; mas o avisado encobre a afronta.";arcaico
"Pelo que convinha que; em tudo; fosse semelhante aos irmãos; para ser misericordioso e fiel sumo sacerdote naquilo que é de Deus; para expiar os pecados do povo.";arcaico
"Ninguém pode roubar os bens do valente; entrando-lhe em sua casa; se primeiro não manietar o valente; e; então; roubará a sua casa.";arcaico
"E tomou-os e fê-los passar o ribeiro; e fez passar tudo o que tinha.";arcaico
"Mas; ao fim daqueles dias; eu; Nabucodonosor; levantei os meus olhos ao céu; e tornou-me a vir o meu entendimento; e eu bendisse o Altíssimo; e louvei; e glorifiquei ao que vive para sempre; cujo domínio é um domínio sempiterno; e cujo reino é de geração em geração.";arcaico
"E os egípcios puseram sobre eles maiorais de tributos; para os afligirem com suas cargas. E edificaram a Faraó cidades de tesouros; Pitom e Ramessés.";arcaico
"E; dizendo ele isso; todos os seus adversários ficaram envergonhados; e todo o povo se alegrava por todas as coisas gloriosas que eram feitas por ele. As parábolas do grão de mostarda e do fermento (A)";arcaico
Saudai todos os vossos chefes e todos os santos. Os da Itália vos saúdam.;arcaico
"Eu; Paulo; escolhido pela vontade de Deus para ser apóstolo de Jesus Cristo; escrevo esta carta aos santos em Éfeso; os que são fiéis a Jesus Cristo.";arcaico
"E; quando o caminho te for tão comprido; que os não possas levar; por estar longe de ti o lugar que escolher o Senhor; teu Deus; para ali pôr o seu nome; quando o Senhor; teu Deus; te tiver abençoado;";arcaico
"Porque todo o povo que saíra estava circuncidado; mas a nenhum do povo que nascera no deserto; pelo caminho; depois de terem saído do Egito; haviam circuncidado.";arcaico
"testificando; tanto aos judeus como aos gregos; a conversão a Deus e a fé em nosso Senhor Jesus Cristo.";arcaico
"E a metade; a parte dos que saíram à guerra; foi em número de trezentas e trinta e sete mil e quinhentas ovelhas.";arcaico
"E tomou-lhe Davi mil e seiscentos cavaleiros e vinte mil homens de pé; e Davi jarretou todos os cavalos dos carros e reservou deles cem carros.";arcaico
"e o que me tira dentre os meus inimigos; e tu me exaltas sobre os que contra mim se levantam; do homem violento me livras.";arcaico
"desaparecendo ele do seu lugar; negá-lo-á este; dizendo: Nunca te vi;";arcaico
"E sei que o tal homem (se no corpo; se fora do corpo; não sei; Deus o sabe)";arcaico
Então disse-lhes: “Vão por todo o mundo e preguem a boa nova a todos e em toda a parte.;arcaico
"Portanto; irmãos; procurai fazer cada vez mais firme a vossa vocação e eleição; porque; fazendo isto; nunca jamais tropeçareis.";arcaico
"Na verdade; há um espírito no homem; e a inspiração do Todo-Poderoso os faz sábios.";arcaico
"Porém; tornando o sacerdote a entrar; e; examinando; eis que; se a praga na casa se não tem estendido; depois que a casa foi rebocada; o sacerdote declarará a casa limpa; porque a praga está curada.";arcaico
"Haverá um punhado de trigo na terra sobre os cumes dos montes; o seu fruto se moverá como o Líbano; e os da cidade florescerão como a erva da terra.";arcaico
"Persegui este Caminho até à morte; prendendo e metendo em prisões; tanto homens como mulheres;";arcaico
"E o rei enviou esta resposta a Reum; o chanceler; e a Sinsai; o escrivão; e aos mais da sua companhia; que habitavam em Samaria; como também ao resto dos que estavam dalém do rio: Paz! E em tal tempo.";arcaico
"Agora; pois; não mais escarneçais; para que vossas ligaduras se não façam mais fortes; porque já ouvi o Senhor Jeová dos Exércitos falar de uma destruição; e esta já está determinada sobre toda a terra.";arcaico
"Mas; agora; se manifestou; sem a lei; a justiça de Deus; tendo o testemunho da Lei e dos Profetas;";arcaico
"estava nu; e vestistes-me; adoeci; e visitastes-me; estive na prisão; e fostes ver-me.";arcaico
"É realmente como vos digo: quem ouve a minha mensagem e crê em Deus; que me enviou; tem a vida eterna e não será condenado pelos seus pecados; antes passou já da morte para a vida.";arcaico
