text;style
E João dá aqui testemunho das palavras de Deus, do que lhe foi revelado por Jesus Cristo, e do que viu e ouviu.;literal
Enquanto falava, os especialistas na Lei e os fariseus trouxeram-lhe uma mulher apanhada em adultério e puseram-na diante do povo:;literal
"E circuncidareis a carne do vosso prepúcio; e isto será por sinal do concerto entre mim e vós.";literal
E sucedeu que, no dia seguinte, o povo pela manhã se levantou, e edificou ali um altar, e ofereceu holocaustos e ofertas pacíficas.;literal
E aconteceu que, naquele dia, quando o Senhor falou a Moisés na terra do Egito,;literal
Por que profetizaste no nome do Senhor, dizendo: Será como Siló esta casa, e esta cidade será assolada, de sorte que fique sem moradores? E ajuntou-se todo o povo contra Jeremias, na Casa do Senhor.;literal
"E, quando o príncipe fizer oferta voluntária de holocaustos ou de sacrifício pacífico como oferta voluntária ao Senhor, então, lhe abrirão a porta que olha para o oriente, e fará ele o seu holocausto e os seus sacrifícios pacíficos, como houver feito no dia de sábado; e sairá, e se fechará a porta depois de ele sair.";literal
"Porque ele será como a árvore plantada junto às águas, que estende as suas raízes para o ribeiro e não receia quando vem o calor, mas a sua folha fica verde; e, no ano de sequidão, não se afadiga nem deixa de dar fruto.";literal
Nós tornámo-nos loucos pela causa de Cristo, mas vocês são sábios em Cristo. Nós somos os fracos e vocês os fortes! Vocês são considerados por toda a gente, mas de nós as pessoas riem-se.;literal
Mandou-nos pregar as boas novas e dar testemunho de que Jesus foi enviado por Deus para ser juiz dos vivos e dos mortos.;literal
"É certo, sim, que tu sabes qual é a sua vontade; aprovas coisas excelentes porque foste instruído na sua Lei.";literal
Um dos soldados que ali se encontrava deu-lhe uma bofetada: “É assim que respondes ao sumo sacerdote? ”;literal
E disse-lhe: Toma estes utensílios, e vai, e leva-os ao templo que está em Jerusalém, e faze edificar a Casa de Deus, no seu lugar.;literal
"Também as duas portas eram da madeira de oliveira; e lavrou nelas entalhes de querubins, e de palmas, e de flores abertas, os quais cobriu de ouro; também estendeu ouro sobre os querubins e sobre as palmas.";literal
Nós, pois, fazemos notório ao rei que, se aquela cidade se reedificar e os seus muros se restaurarem, desta maneira não terás porção alguma desta banda do rio.;literal
